_id,_score,productId,score,helpfulness_ratio,time,summary
bgw8NJkBLDnO6wEzLNe5,8.026239,B000HT36QE,5.0,1.0,1159315200,amazing
s8kYNJkBLDnO6wEz7jOR,8.017628,B000BBRZX8,5.0,1.0,1139443200,CD OF THE YEAR.... t.A.T.u.'s Sophomore
DdsjNJkBLDnO6wEzutY9,8.017628,B000G04RRG,5.0,1.0,1139443200,CD OF THE YEAR.... t.A.T.u.'s Sophomore
zwQ4NJkBLDnO6wEzC-4r,8.017628,B000FVR188,5.0,1.0,1139443200,CD OF THE YEAR.... t.A.T.u.'s Sophomore
Lf80NJkBLDnO6wEz6Qdb,8.017628,B000BFHYD0,5.0,1.0,1139443200,CD OF THE YEAR.... t.A.T.u.'s Sophomore
0wk6NJkBLDnO6wEzSB4k,8.017628,B000ASDGFI,5.0,1.0,1139443200,CD OF THE YEAR.... t.A.T.u.'s Sophomore
H_szNJkBLDnO6wEzKEIE,8.006487,B000BGR18W,5.0,1.0,1133136000,My Fav. Songs...
uMIVNJkBLDnO6wEzJXsZ,7.991037,B000063XWX,5.0,,1025049600,Another best pick!!!
cMkZNJkBLDnO6wEzLHth,7.991037,B00061QVH4,5.0,,1025049600,Another best pick!!!
TNQfNJkBLDnO6wEzib3U,7.991037,B0000DEOER,5.0,,1025049600,Another best pick!!!
kd8lNJkBLDnO6wEzyphe,7.991037,B0000C4GGX,5.0,,1025049600,Another best pick!!!
_PQvNJkBLDnO6wEzn4Uw,7.991037,B00004Z459,5.0,,1025049600,Another best pick!!!
ntkiNJkBLDnO6wEzeOfW,7.991037,B0000DEPD4,5.0,,1025049600,Another best pick!!!
1Ac5NJkBLDnO6wEzYHVP,7.991037,B000BRIVH6,5.0,,1025049600,Another best pick!!!
yxxENJkBLDnO6wEzKsuZ,7.991037,B000I1C4LY,5.0,,1025049600,Another best pick!!!
f-0sNJkBLDnO6wEzPCDw,7.9664454,B000GPIFJ2,5.0,,1349740800,Headpins Turn It Loud
KcoZNJkBLDnO6wEzmmCx,7.8186827,B000FQ53YW,5.0,,1178755200,Instrumental
Zu4sNJkBLDnO6wEz54v-,7.7640057,B00000JG4W,5.0,,931478400,This is not the &quot;comeback&quot; we need. Nails on a chalkboard vo
LhI-NJkBLDnO6wEzohTz,7.7640057,B00000JNH1,5.0,,931478400,This is not the &quot;comeback&quot; we need. Nails on a chalkboard vo
DxI-NJkBLDnO6wEzsjlq,7.7640057,B000026UNU,5.0,,931478400,This is not the &quot;comeback&quot; we need. Nails on a chalkboard vo
OccXNJkBLDnO6wEzykL4,7.7123976,B00000JSAZ,5.0,,933292800,Da Bomb
auEmNJkBLDnO6wEzrP0U,7.7049804,B0000ZP4U6,5.0,1.0,1076976000,Great
GQ48NJkBLDnO6wEz0Uls,7.7049804,B0000931NJ,5.0,1.0,1076976000,Great
4RVANJkBLDnO6wEzvX6n,7.699937,B00022LZOQ,5.0,,1089849600,Beautiful voice and lyrics
nAE2NJkBLDnO6wEzOSAx,7.699937,B0001VWPEC,5.0,,1089849600,Beautiful voice and lyrics
pxtDNJkBLDnO6wEzVSB1,7.699937,B000268RJ8,5.0,,1089849600,Beautiful voice and lyrics
N9wkNJkBLDnO6wEzR7LB,7.687911,B000CAJTEQ,5.0,1.0,1217721600,Forever Red
qB1ENJkBLDnO6wEzc0ly,7.687911,B000003MK7,5.0,1.0,1008115200,Leni Stern ~ Recommended
BuQoNJkBLDnO6wEzBnOT,7.681348,B0006SLD66,5.0,1.0,1125187200,The Perfect Album
RhI-NJkBLDnO6wEz7YUd,7.681348,B0006L5RU6,5.0,1.0,1125187200,The Perfect Album
IPszNJkBLDnO6wEzHiFv,7.681348,B00064ADRK,5.0,1.0,1125187200,The Perfect Album
1xxENJkBLDnO6wEzCWaP,7.681348,B000BYRAG2,5.0,1.0,1125187200,The Perfect Album
OuAlNJkBLDnO6wEz-wuZ,7.6803617,B00004S9BB,5.0,,1267920000,A Must For Michelle Tumes Fans
Ec4bNJkBLDnO6wEzPRn9,7.6699185,B00009PJRD,5.0,0.0,1055894400,Everything You Didnt Expect But Everything you could want
VMMVNJkBLDnO6wEz07xE,7.6697917,B00005A1MV,5.0,1.0,997488000,great stuff
DtoiNJkBLDnO6wEz64Yk,7.6571727,B00000DH0B,5.0,0.0,941328000,completely original...
tw89NJkBLDnO6wEzbLmo,7.6571727,B0009R1SSW,5.0,0.5,1141344000,"wisher, dark, miss louisiana, and foster are the best"
yb0SNJkBLDnO6wEzvcYl,7.6571727,B000026X35,5.0,0.0,941328000,completely original...
YtAcNJkBLDnO6wEzbsQm,7.6571727,B00008OM4J,5.0,,1078531200,Great underground rap album
e_00NJkBLDnO6wEzXMXT,7.653884,B00005B8N1,5.0,,1114128000,Her First English Album
bhdBNJkBLDnO6wEzzLdO,7.651449,B0000CD8HO,5.0,1.0,1001635200,This will send tingles down your spine.
YBxENJkBLDnO6wEzGZV0,7.651449,B00005AVQ4,5.0,1.0,1001635200,This will send tingles down your spine.
bxxENJkBLDnO6wEzCmh5,7.627622,B000007PFB,5.0,0.5,962409600,Can any one compare?
dxxENJkBLDnO6wEzC2oe,7.627622,B000007PFA,5.0,0.5,962409600,Can any one compare?
8egqNJkBLDnO6wEzDF4i,7.6255927,B00005QXC3,5.0,1.0,1012262400,Great CD a &quot;Must Buy&quot;
OuAmNJkBLDnO6wEzQsrw,7.6255927,B00005OKUS,5.0,1.0,1012262400,Great CD a &quot;Must Buy&quot;
lcAUNJkBLDnO6wEzGWoe,7.6171207,B00000DCN8,5.0,1.0,1070064000,"Ground-breaming, heart rendering..."
scUWNJkBLDnO6wEzuhtQ,7.613103,B000OXEO5U,5.0,,968803200,Best album I've ever purchased!
NOQnNJkBLDnO6wEzzUn8,7.613103,B0000DERXK,5.0,,968803200,Best album I've ever purchased!
nPcxNJkBLDnO6wEzc_fR,7.613103,B000BRISF6,5.0,,968803200,Best album I've ever purchased!
dAQ4NJkBLDnO6wEzDvaH,7.613103,B00007IG14,5.0,,968803200,Best album I've ever purchased!
ytkiNJkBLDnO6wEzdd2O,7.613103,B0000DEPA0,5.0,,968803200,Best album I've ever purchased!
zN0kNJkBLDnO6wEzv3NZ,7.613103,B00006JM76,5.0,,968803200,Best album I've ever purchased!
2R1ENJkBLDnO6wEze2K4,7.613103,B00000IAU3,5.0,,968803200,Best album I've ever purchased!
VxxDNJkBLDnO6wEz8zDd,7.612624,B000OU9RIC,5.0,1.0,1354060800,WONDEROUSLY worshipful
5dUgNJkBLDnO6wEzFafy,7.602733,B00000EC0F,5.0,0.0,918345600,EXCELLENT FROM FONT TO BACK
dPcxNJkBLDnO6wEzcfDz,7.602733,B00006LJ9N,5.0,0.0,918345600,EXCELLENT FROM FONT TO BACK
9OgqNJkBLDnO6wEzCVaT,7.5490623,B000F5GKKO,5.0,0.0,1154908800,Lite but worth it
IsUWNJkBLDnO6wEztQki,7.5490623,B00008G1FP,5.0,0.5,938390400,I'll Remember It
Jb4TNJkBLDnO6wEzCIVM,7.5490623,B000F3UADO,5.0,0.0,1154908800,Lite but worth it
AdghNJkBLDnO6wEzi6me,7.5490623,B00000E0ZC,5.0,0.5,938390400,I'll Remember It
2NcgNJkBLDnO6wEz5J_5,7.5490623,B000057JS9,5.0,0.5,938390400,I'll Remember It
iMwaNJkBLDnO6wEzfjf9,7.5490623,B0002J54YG,5.0,,1153699200,23rd Street Lullaby by PattiScialfa
7-8tNJkBLDnO6wEzU1Vi,7.5490623,B000EZ8QOI,5.0,0.0,1154908800,Lite but worth it
tO8tNJkBLDnO6wEzVFlO,7.5490623,B000EZ8QP2,5.0,0.0,1154908800,Lite but worth it
eA08NJkBLDnO6wEzckK7,7.5490623,B000KJTJNK,5.0,0.0,1154908800,Lite but worth it
